startdate,starttime,enddate,endtime,status,progress,duration_in_secs,finished,recordeddate,responseid,distributionchannel,userlanguage,current_info_receipt,how_do_you_want_info,recyclable_paper_disposal,nonrecyclable_paper_disposal,cardboard_boxboard_disposal,recyclable_glass_disposal,specialty_glass_disposal,recyclable_plastics_disposal,plastic_bag_disposal,bulky_plastic_disposal,polystyrene_foam_disposal,recyclable_metals_disposal,specialty_metals_disposal,e_waste_disposal,misc_items_disposal,accepted_item_in_trash,accepted_item_in_recycling,not_accepted_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_trash,unsure_item_in_recycling,specialty_recycle_dropoff,what_happens_unwashed,what_happens_bagged,what_happens_unsure
2020-10-19,14:11:22,2020-10-19,14:22:26,IP Address,100,663,True,2020-10-19 14:22:26,R_23e2JVEuiqcVDVx,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The City of Lansing social media pages",The City of Lansing social media pages,"Trash Cart,Recycling Cart",Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,"Trash Cart,Other (such as can and bottle return or compost)",Trash Cart,Trash Cart,Recycling Cart,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)","Trash Cart,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",Trash Cart,Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,14:19:32,2020-10-19,14:23:37,IP Address,100,245,True,2020-10-19 14:23:37,R_ebrOmhM9aYaOAud,anonymous,EN,"A school/commercial business/and/or my place of work,Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Friends/family/and/or neighbors,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Somewhat unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Somewhat unlikely,Somewhat unlikely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:13:58,2020-10-19,14:23:54,IP Address,100,596,True,2020-10-19 14:23:55,R_WBcVryfMAsGHlKN,anonymous,EN,"Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Recycling Cart,"Trash Cart,Other (such as can and bottle return or compost)",NA,Other (such as can and bottle return or compost),"Recycling Cart,Other (such as can and bottle return or compost)",Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,"Recycling Cart,Other (such as can and bottle return or compost)",Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Rejected by the recycling collectors before pick-up.,Dispose of the item in the trash.
2020-10-19,14:19:50,2020-10-19,14:24:22,IP Address,100,272,True,2020-10-19 14:24:22,R_1KdNqEGF7C1sC5A,anonymous,EN,"A school/commercial business/and/or my place of work,Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website,The City of Lansing social media pages","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:11:51,2020-10-19,14:25:25,IP Address,100,814,True,2020-10-19 14:25:25,R_2q7SYWocftnQoLO,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Disposed of into the trash by the recycling center after pick-up.,Rejected by the recycling collectors before pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:20:37,2020-10-19,14:26:34,IP Address,100,357,True,2020-10-19 14:26:35,R_2fvWk64JXy6toFT,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,Rejected by the recycling collectors before pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:21:19,2020-10-19,14:26:36,IP Address,100,316,True,2020-10-19 14:26:37,R_1iao6aZVvwVRUZe,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website,The Recycle Coach and/or Lansing Connect app","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost),Extremely unlikely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:23:59,2020-10-19,14:26:51,IP Address,100,172,True,2020-10-19 14:26:51,R_yvSGUKZX3h6IhRT,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost),Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Cleaned by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,14:28:39,2020-10-19,14:31:55,IP Address,100,195,True,2020-10-19 14:31:55,R_3O8DZ6S5CTIFui5,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app",Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Extremely unlikely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:30:34,2020-10-19,14:34:12,IP Address,100,217,True,2020-10-19 14:34:12,R_2pLVAWKB9qAAVl0,anonymous,EN,The Capital Area Recycling And Trash website,"The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Recycling Cart,"Trash Cart,Other (such as can and bottle return or compost)","Trash Cart,Other (such as can and bottle return or compost)",Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Extremely unlikely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,14:30:02,2020-10-19,14:34:29,IP Address,100,267,True,2020-10-19 14:34:29,R_zZjd6MDImpQpkhH,anonymous,EN,"Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,Somewhat likely,Extremely likely,Cleaned by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Recycle the item.
2020-10-19,14:31:04,2020-10-19,14:35:47,IP Address,100,283,True,2020-10-19 14:35:48,R_2zcF8zz3ZYq69tz,anonymous,EN,"A school/commercial business/and/or my place of work,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The Recycle Coach and/or Lansing Connect app","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Neither likely nor unlikely,I am unsure of what happens to unwashed recyclable items.,Disposed of into the trash by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:34:34,2020-10-19,14:39:30,IP Address,100,295,True,2020-10-19 14:39:30,R_9Rd0JuuycBkDQOt,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat unlikely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,14:36:30,2020-10-19,14:41:09,IP Address,100,279,True,2020-10-19 14:41:09,R_3GlYxrDjOzm1M4j,anonymous,EN,"A school/commercial business/and/or my place of work,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The Recycle Coach and/or Lansing Connect app","Mailed pamphlets/flyers/or newsletters,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Other (such as can and bottle return or compost),Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Taken out of the bags by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:38:21,2020-10-19,14:41:37,IP Address,100,195,True,2020-10-19 14:41:38,R_vDG1tVlinMDJCkV,anonymous,EN,Mailed pamphlets/flyers/or newsletters,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Extremely unlikely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,14:37:12,2020-10-19,14:46:34,IP Address,100,562,True,2020-10-19 14:46:34,R_32Qs9cMzDLZAl2t,anonymous,EN,The Capital Area Recycling And Trash website,The Capital Area Recycling and Trash website,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Somewhat unlikely,Extremely likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,14:39:14,2020-10-19,14:47:46,IP Address,100,512,True,2020-10-19 14:47:46,R_1CJgsbXIRk3Dyrz,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Taken out of the bags by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:45:13,2020-10-19,14:50:01,IP Address,100,287,True,2020-10-19 14:50:01,R_241chZlLK78NijR,anonymous,EN,"Friends/family/and/or neighbors,Information on my recycling cart,The Capital Area Recycling And Trash website","The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,Disposed of into the trash by the recycling center after pick-up.,Taken out of the bags by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,14:39:16,2020-10-19,14:51:24,IP Address,100,727,True,2020-10-19 14:51:24,R_syVnTb8o2REA4h3,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,14:47:46,2020-10-19,14:52:24,IP Address,100,277,True,2020-10-19 14:52:24,R_2DYt3LblJG4lqV2,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,Somewhat unlikely,Somewhat unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Ask someone I know (friend/family/coworker/neighbor/etc) if it is recyclable and dispose of the item according to their direction.
2020-10-19,14:59:36,2020-10-19,15:03:57,IP Address,100,260,True,2020-10-19 15:03:57,R_beghlvqjMEKgbyF,anonymous,EN,Mailed pamphlets/flyers/or newsletters,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,15:02:40,2020-10-19,15:05:13,IP Address,100,152,True,2020-10-19 15:05:14,R_20Z47DpqH3l6p9J,anonymous,EN,"A school/commercial business/and/or my place of work,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,"Recycling Cart,Take to Drop-off Recycling Center",Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,"Trash Cart,Other (such as can and bottle return or compost)",Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,15:06:40,2020-10-19,15:10:25,IP Address,100,225,True,2020-10-19 15:10:25,R_305WoZEcIS1taJZ,anonymous,EN,"Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,NA,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,15:07:02,2020-10-19,15:10:54,IP Address,100,231,True,2020-10-19 15:10:54,R_2uWLK7FFPO2oztI,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The City of Lansing social media pages","The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,Rejected by the recycling collectors before pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,15:14:12,2020-10-19,15:18:35,IP Address,100,262,True,2020-10-19 15:18:36,R_3dKd1cUJjNk9Pkg,anonymous,EN,"Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,"Trash Cart,Take to Drop-off Recycling Center",Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,15:19:50,2020-10-19,15:23:45,IP Address,100,234,True,2020-10-19 15:23:45,R_3GexPYPKQpKU8B0,anonymous,EN,"A school/commercial business/and/or my place of work,Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Information on my recycling cart,The Capital Area Recycling and Trash website,The City of Lansing social media pages",Take to Drop-off Recycling Center,Trash Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Trash Cart,Take to Drop-off Recycling Center,Trash Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Trash Cart,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,Neither likely nor unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,15:21:42,2020-10-19,15:26:43,IP Address,100,300,True,2020-10-19 15:26:43,R_21H8xMqquKAJNSy,anonymous,EN,"A school/commercial business/and/or my place of work,Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters",The Capital Area Recycling and Trash website,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,NA,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,NA,Somewhat unlikely,Extremely unlikely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Ask someone I know (friend/family/coworker/neighbor/etc) if it is recyclable and dispose of the item according to their direction.
2020-10-19,15:19:02,2020-10-19,15:29:16,IP Address,100,614,True,2020-10-19 15:29:17,R_3PAD3WW6ITltXpF,anonymous,EN,"Information on my recycling cart,The Capital Area Recycling And Trash website,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app",The Recycle Coach and/or Lansing Connect app,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,"Trash Cart,Take to Drop-off Recycling Center",Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat unlikely,Somewhat likely,Extremely unlikely,Somewhat unlikely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,15:42:07,2020-10-19,15:45:36,IP Address,100,209,True,2020-10-19 15:45:36,R_ah4EcyNtWq66M37,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The Recycle Coach and/or Lansing Connect app","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Somewhat unlikely,Extremely likely,Extremely unlikely,Somewhat unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,15:45:47,2020-10-19,15:48:12,IP Address,100,144,True,2020-10-19 15:48:12,R_3Dpw0L93UJIdmK7,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely likely,Extremely unlikely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,15:46:19,2020-10-19,15:52:13,IP Address,100,354,True,2020-10-19 15:52:14,R_1In4KxUw0Pz7PsA,anonymous,EN,Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,Recycling Cart,Take to Drop-off Recycling Center,"Recycling Cart,Take to Drop-off Recycling Center",Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Neither likely nor unlikely,Somewhat unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,15:49:11,2020-10-19,15:52:35,IP Address,100,204,True,2020-10-19 15:52:36,R_1eDiK2UAe4cmiJq,anonymous,EN,The Capital Area Recycling And Trash website,"Information on my recycling cart,The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Extremely unlikely,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,15:49:03,2020-10-19,15:53:11,IP Address,100,248,True,2020-10-19 15:53:11,R_3D14QqYiBvt3TpJ,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Trash Cart,Trash Cart,Recycling Cart,Trash Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,Taken out of the bags by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
