responseid,recyclable_paper_disposal,trash,recycle,dropoff,other
R_2EzBMB21o1fJqKK,Recycling Cart,False,True,False,False
R_7Wja7XaJnubJ1jb,Recycling Cart,False,True,False,False
R_2CcUh3pSwZfWQhs,Trash Cart,True,False,False,False
R_389WQR8wb26jBzr,Recycling Cart,False,True,False,False
R_2tcnk5lVJHCsiCB,Recycling Cart,False,True,False,False
R_3EiGE3R4dsrKKWg,Recycling Cart,False,True,False,False
R_3g6CifOucuXDDgI,Recycling Cart,False,True,False,False
R_RRDSzLTJjizG3zb,Recycling Cart,False,True,False,False
R_1ezBoKw5WPrGlcJ,Recycling Cart,False,True,False,False
R_1QGuzmYZhpAqOaJ,Recycling Cart,False,True,False,False
R_3CUi5Jdp5sielRl,Recycling Cart,False,True,False,False
R_1j8GsAN0Sm6zUxn,Recycling Cart,False,True,False,False
R_qw6yTLyhXNubePT,Trash Cart,True,False,False,False
R_2CTwz6Cl7QuU2kA,Recycling Cart,False,True,False,False
R_1dKZiiotqUH0E3k,Recycling Cart,False,True,False,False
R_210QE9rrdqn40e3,Recycling Cart,False,True,False,False
R_zShtOsakLIltNx7,Recycling Cart,False,True,False,False
R_2sSArqRYPEGqYLI,"Trash Cart,Recycling Cart",True,True,False,False
R_6XyVEfOMu0vaSuR,Trash Cart,True,False,False,False
R_3emAWvo36f0jY75,"Trash Cart,Recycling Cart,Other (such as can and bottle return or compost)",True,True,False,True
R_qxbdsuk1BjrNhzH,Recycling Cart,False,True,False,False
R_3pyuuVlPMUEqTmh,Recycling Cart,False,True,False,False
R_124RzCXmJM8Hh6E,Recycling Cart,False,True,False,False
R_wMnZDJluSVlymad,Recycling Cart,False,True,False,False
R_2zdx09Xfv1XB9JG,Recycling Cart,False,True,False,False
R_2fJKvE9XiVUPXC5,Recycling Cart,False,True,False,False
R_3MhcDFDdwvIgCht,Recycling Cart,False,True,False,False
R_2Bmk5yZSdQjifuB,Recycling Cart,False,True,False,False
R_24emLcapgeSCov2,Recycling Cart,False,True,False,False
R_2V8zGRBxp4udmtg,Recycling Cart,False,True,False,False
R_3F3z0MqkIwO0nwR,Recycling Cart,False,True,False,False
R_2S7grkq9ZpbDHpi,Recycling Cart,False,True,False,False
R_3R4oIUHMpsMA7cM,Recycling Cart,False,True,False,False
R_838V4xD0j17LPW1,Recycling Cart,False,True,False,False
R_1K2dzXwE3Z8vAyC,"Recycling Cart,Other (such as can and bottle return or compost)",False,True,False,True
R_2zd6lj5dzFvyZRH,Recycling Cart,False,True,False,False
R_28ZKNY0yTfBHF4d,Recycling Cart,False,True,False,False
R_ai0nXEtWuS9gdTr,Trash Cart,True,False,False,False
R_1Ed0sA8iht7WVKF,Recycling Cart,False,True,False,False
R_2cmYFmnKjkUfNL3,Recycling Cart,False,True,False,False
R_3EtGBFCePWNTPIR,Recycling Cart,False,True,False,False
R_3MxiXkh9h4MtXJu,Recycling Cart,False,True,False,False
R_1rdAzDCaoqhcZms,Recycling Cart,False,True,False,False
R_806OSf5x4LP0Mg1,Recycling Cart,False,True,False,False
R_cBcGjy1hlmPgJNL,Recycling Cart,False,True,False,False
R_1Kr3jHJCP0Lsh9T,"Trash Cart,Recycling Cart",True,True,False,False
R_C8EkImjY7hNwEpj,Recycling Cart,False,True,False,False
R_21j2a2qnwcsEDd6,Recycling Cart,False,True,False,False
R_b3joVTISNL7sPbb,Recycling Cart,False,True,False,False
R_sq8sDAnUJeJb5Xr,Recycling Cart,False,True,False,False
R_0OsaCJIIUfUmmFX,Recycling Cart,False,True,False,False
R_1hGOD5l0iXsekY0,Take to Drop-off Recycling Center,False,False,True,False
R_ef9S9K1FpNIKbOV,Recycling Cart,False,True,False,False
R_3RmwF1aAhkNJBxs,Recycling Cart,False,True,False,False
R_1QlRmun1GC5Y33A,Recycling Cart,False,True,False,False
R_2X54ciMYUheU6vO,Recycling Cart,False,True,False,False
R_2q4pDz3mT7iYZbu,Recycling Cart,False,True,False,False
R_6DKWjNhFycV20qB,"Trash Cart,Recycling Cart",True,True,False,False
R_3iIKotxLfrAGmyt,NA,False,False,False,False
R_6GzkLRJgPrtpd7z,Recycling Cart,False,True,False,False
R_yNFET7HqVThco49,Recycling Cart,False,True,False,False
R_sbvbx5snp9giUHn,"Trash Cart,Recycling Cart",True,True,False,False
R_1LU5HafDaXl52XS,"Trash Cart,Recycling Cart",True,True,False,False
R_Rlu6s6l1IOB8WtP,NA,False,False,False,False
R_1BRXCyw8EEJqyPQ,NA,False,False,False,False
R_31BMmjdomNBxcOX,Recycling Cart,False,True,False,False
R_1E4erKJglRMe8NG,NA,False,False,False,False
R_3FWDPipzgermE3K,NA,False,False,False,False
R_wLhCBA3Qt23h5Ml,NA,False,False,False,False
R_DqvY6ovfAZAm43T,NA,False,False,False,False
R_wTzi2I0tjth8onf,NA,False,False,False,False
R_3fJehrH7esTeniw,Recycling Cart,False,True,False,False
R_RzgnpPZ3McSb8SR,NA,False,False,False,False
R_1I4ckt4C85us6cG,Recycling Cart,False,True,False,False
R_8f6mIbZzplHBx17,"Recycling Cart,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,True,True,True
R_AoEpZ97rb7sA1yN,Recycling Cart,False,True,False,False
R_W0Y8VZK3fKh4Mdr,NA,False,False,False,False
R_Z8A2CnTQ9tZpKcF,NA,False,False,False,False
R_USWTMdoHPtDMfUl,NA,False,False,False,False
R_3n7QurvmC56XeNs,Recycling Cart,False,True,False,False
R_3PYKj1PXnETWzFU,Recycling Cart,False,True,False,False
R_3CCz2gtvDTS4M2x,NA,False,False,False,False
R_3EbQTBFMmqNGvgd,Recycling Cart,False,True,False,False
R_11Z5dt9kDZclxjj,Recycling Cart,False,True,False,False
R_1eFCtGsuSozkzge,NA,False,False,False,False
R_2uwkkwsXfACsDyD,Recycling Cart,False,True,False,False
R_2AKy89OKqYXoKG0,NA,False,False,False,False
R_qLbIagSmlwnXrd7,Trash Cart,True,False,False,False
R_1pJMbs4md2zLRSI,Trash Cart,True,False,False,False
R_1ePD7SXAPku8XPG,NA,False,False,False,False
R_2rvkUsj0T0hgDEv,Recycling Cart,False,True,False,False
R_73ZMkwKfisJrK13,Recycling Cart,False,True,False,False
R_1LMcy8Gqeh1K8nG,Recycling Cart,False,True,False,False
R_cMj9qjWjSBgNphn,Recycling Cart,False,True,False,False
R_qw0juk4RzZptHDb,"Trash Cart,Recycling Cart",True,True,False,False
R_1EXnqOfDqYaeIa8,Recycling Cart,False,True,False,False
R_20Y8xuoOR0H50Be,Recycling Cart,False,True,False,False
R_2c0H8WWwUTc7DK9,Recycling Cart,False,True,False,False
R_10u6jtz7PG8acWS,NA,False,False,False,False
R_1DIkaYsjt0B06r9,NA,False,False,False,False
R_wM0fJq8E8T9FTpv,Recycling Cart,False,True,False,False
R_29ncRIk8PR9hcag,Recycling Cart,False,True,False,False
R_27m6go1Kpx3KiJo,Recycling Cart,False,True,False,False
R_2Uhp9eIUMdmotk4,NA,False,False,False,False
R_1HjA515m8pkbwAC,NA,False,False,False,False
R_3nf8HJLLUFiwx6q,NA,False,False,False,False
R_umNZG9Z2pSF2WPL,Recycling Cart,False,True,False,False
R_3QM0u6RqLM3tOHC,NA,False,False,False,False
R_1ocDiDnkhmV0Pye,Recycling Cart,False,True,False,False
R_bNKysuPOz2djVV7,Take to Drop-off Recycling Center,False,False,True,False
R_bO3EPHNadLgDZ5v,Trash Cart,True,False,False,False
R_2aRYZNtppuXTodk,Recycling Cart,False,True,False,False
R_9HTWV6pGy4SCIzn,Trash Cart,True,False,False,False
R_2rD5J3AoO0FBtNL,NA,False,False,False,False
R_1Fybcd6JK1iqxla,Recycling Cart,False,True,False,False
R_2wiuNjpc8iLjcXW,Recycling Cart,False,True,False,False
R_3nMgAs26FmrlIHx,NA,False,False,False,False
R_0Bt8UJOZG1Pcz4Z,NA,False,False,False,False
R_2OJaJNbhHmfg5lB,NA,False,False,False,False
R_3GAMcFPPrEJYm1m,NA,False,False,False,False
R_1FPsV0eNewP0h8t,Recycling Cart,False,True,False,False
R_2SubvuQ2xBjMgjC,NA,False,False,False,False
R_2BmtwT75sYbkaen,Recycling Cart,False,True,False,False
R_2w6a38YsVxyze2x,NA,False,False,False,False
R_tJVj4r8uQ0PXTC9,Recycling Cart,False,True,False,False
R_786xKhNmVap59Rf,NA,False,False,False,False
R_3HqqW5TIT8IJaIl,Recycling Cart,False,True,False,False
R_12xlUVoPBcNNul2,Recycling Cart,False,True,False,False
R_2v6W1rdgnbh5XgH,NA,False,False,False,False
R_1jGQnwtcxtifBTX,NA,False,False,False,False
