responseid,accepted_item_in_recycling,not_accepted_item_in_trash,unsure_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_recycling,not_accepted_rc_num_scale,unsure_rc_num_scale,not_accepted_trash_num_scale,unsure_trash_num_scale
R_238DceOUScTxWxr,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,4,4
R_SMD70HS3re3JXWN,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2z7IteDW5O55vUZ,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_AiHvKEfQU0UdIf7,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_3CH3O30a962aoyh,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,1,4,5,5
R_1isacs1uPjnBq6e,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,5
R_1rH68YgAhstYvPk,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_p4N0BcQsffCRJ8R,Extremely likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,Extremely likely,1,5,2,1
R_2rA57M2VlfuRR3l,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2b1oF8BOfzRcYSB,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_1irmPf9ZJxatNSw,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_xhCdrOV2cUkcWnn,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_1Cp6BY9f4xRVwSu,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_3fis8Z0Vfnd0rRM,Extremely likely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,3,4
R_32WpgQ1QA5Ljk2L,Extremely unlikely,Neither likely nor unlikely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,3,2
R_2qslbLaLTpP54M4,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,1,1
R_3jezfRQ094qsMtP,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_AgL5Sk8obLyKXwR,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_3lKeWUujAcQNNUY,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3EAxgqqCRQBjNXB,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_1opafvCscbjdmSp,Extremely unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_2xJzsLxgzvSqKo5,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2,2,5,2
R_3MLnb5mDiwhwwFk,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_3GvSiRej4oj4hIm,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_XFz7gfdKWRtILL3,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_25LV3fqkDEPNHxJ,Extremely likely,Extremely unlikely,Extremely likely,Somewhat unlikely,Somewhat likely,2,4,1,5
R_3EYBI8qZ5L8xI2D,Extremely likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,5,4
R_2YFyVTyAmL0gE0A,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_2OW3G6P6FX5f1L8,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_3m4WwIGrONAHMPz,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_PvYD2FzWdbb9kfT,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Neither likely nor unlikely,1,3,3,4
R_33xm2Ts2voco948,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2VC4inzlj4hK9yk,Extremely likely,Neither likely nor unlikely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,3,5
R_22ofAI05Nb7pJhQ,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_9v2HRUkD5b6P7Oh,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_1jery6gMn5igTgT,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_0J05cw0anbnEx9L,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_248hvBxBEHG8IyK,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,4,4
R_33kZ1yDCBqUsSps,Extremely likely,Somewhat unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,2,4
R_3Li2plAbXbO7J6u,Extremely likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,3,4,4,4
R_1pSvMleQx8pWUTd,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2BhNyFLjcEypaHw,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3kv7eB51QY91g0J,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,5
R_2EyhtnVt1iUNtST,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,1,4,5,5
R_1pVtNJ1CPl3f3LH,Extremely likely,Somewhat unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,2,4
R_3nrBmfkVOh7TKlb,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_2D7em0FlxS3XgLR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_28YD2wk4QiTilso,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,4,3
R_0llLAx6357oOXbb,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_1eQu5aZqnTai2d8,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,1,5,5,5
R_2D6PFil7c2zCnfX,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_yJ7sVvc9iLkLeX7,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_1NyU2A8yKpCgP6X,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,5,3
R_27DzDbtFUFi8ply,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,2,3
R_pQ61HB544mdfk2d,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_1Q9gjcfS3RqNG58,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_QlU3IHeoF3t27bb,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_6DNR2rnwKRXbosh,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely unlikely,Somewhat unlikely,1,2,4,3
R_3kO2QK1355nrpx4,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_1LBBMChyqH8jAl5,Extremely likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,3,4,4,4
R_b2BPStkZRjp50I1,Extremely unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_ZLa1fnBV11IBFHH,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_zSfG4ln5iTQYcw1,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,4,3
R_2dp4wt3meEgb6Lh,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2UW8CUZH7AdVxUp,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_x3l7QO5YRROcwzn,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_s4OSbLYTiyxzqq5,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,2,1,5,4
R_2411MMgGw3Eq69l,Extremely unlikely,Somewhat likely,Somewhat unlikely,Extremely likely,Extremely unlikely,5,1,4,2
R_AKUt4FCJpEatiE1,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1gAUX9FgOj2pGaL,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,3,4
R_1Cg8sH0X7dOF31H,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_aXH1EomfPHUVi2l,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_afaDQNcRPEoxqOR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3Jfa8nMPvf2WiUz,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,1,5,5,5
R_25L3ZoCGTioHri1,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,4,3
R_2asKoYSjry622Ou,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3kcgHeAUxOU4MaL,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,4,3
R_25LVJiFxFwZVcW1,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_QoJQfO75mh0K0Bb,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1j6rTddQu31fGwf,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_3HuF3RXs0xFcEgi,Somewhat likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1E7mOoAiv3JMQrB,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,3,4
R_1JQiiGEjuCrmyya,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,4,3,5,5
R_Z1PpITBwi5M33nb,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat likely,2,4,5,3
R_3s5CHiWOAwJ7ntb,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,3,3
R_2SHbYgJoGPW7rmN,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat likely,4,4,5,2
R_2P75o9iWmBe4IFP,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely likely,Extremely unlikely,5,1,5,3
R_10DIRrwFOD7rljt,Extremely likely,Neither likely nor unlikely,Extremely likely,Neither likely nor unlikely,Extremely likely,3,5,3,5
R_Op14qf9MHqgtylX,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_71EqukmDA788fm1,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_RkrAKdE1DjhgSBP,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_1PSoW7NgtfCg600,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_3JERjxv7n52ux8s,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_3IRyeswPe00Hm1X,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_3nwn3pYaKQFqAjA,Extremely likely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,3,2,3,4
R_AoqYwbRuBlhQUXT,,,,,,0,0,0,0
R_1NfKJaKDnnAKKY1,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,4,1
R_1MlygV5Ths79Lyh,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_1fdPI4qdkAMUPPI,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2xP3BNFNPaTL92z,Extremely likely,Extremely unlikely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,1,2
R_Wle0qI3Y2CIqIxj,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_31nIZxbK1Kzl1kp,Extremely likely,Neither likely nor unlikely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,3,5
R_1dgL8LABcTTDxu2,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_oZzezbBQysooMox,Extremely likely,Somewhat likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,4,5
R_1Quf4EjEsCnPAbe,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_qItmsukxOgUfDEt,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,1,4,5,5
R_tDS5GhcVB1ySa9b,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_1cSOQ8o0mP4tuzf,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_33wh7rzcGW7Rw0P,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_6ygCmr5Aq47ePHX,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_1gngWVLSyxnI4We,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,4,4
R_3QDBoumpZ1zbRTt,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_1QhYk36Nni16x9W,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_272Vu3yKZas06hV,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_3lAKaD3pfNUPcdr,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_31ATZ3iCca6SCJf,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_20SgdIkT1m2L5yC,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_BywKRni64zwMAIp,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_1mXwhSzht4Q9Luw,Extremely likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,4
R_2ctRQHKnOky1zwW,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_3rTjclHZrvGqJiw,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_2EtuhD3sL7ZMopd,Extremely likely,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,3,4,5,2
R_3O160iKRafC0phA,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_T6lbRY3FBNwGGqJ,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,4,2,2,4
R_2VvxLj6rY4u0X3Z,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,4,4,5,3
R_w7V3lmRJ1g76A7L,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3O1vo0TSVvTf06F,Extremely likely,Extremely likely,,Extremely unlikely,Neither likely nor unlikely,1,3,5,0
R_eFGZ7HinHAcx3J7,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1N3NzNZRYEtxmei,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,3,3
R_8e1AbnoBy1K9AL7,Extremely likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,4
R_3iFuogFuyw3qi5j,Extremely unlikely,,,,,0,0,0,0
R_1DMDzMnBg0H2ej3,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,2,5,5,5
R_3jVgFAVd5wVvFdC,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_pAbja210EwcSuZz,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_TbX9npjT6KHAYUx,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_2bP2YH08feJHGsK,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_21vTsDRphwCeJlo,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_0x3H9Wp4bfcOhl7,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,1,4
R_1FCVn18TaZRKeKM,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_2ur3OYF84qkTKAR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_eg77MJYje16owmt,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_vVOOHl5w74hCCA1,Somewhat likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1JEp3GUrukQJPeq,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3IbfpoQCG4S2h7q,Somewhat likely,Extremely likely,Extremely likely,,,0,0,5,5
R_1pJOD7oR8FVIGHh,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3nIcWnv3GxJDk1V,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,3,4,5,5
R_3lJt1qZDrcPmgiW,Extremely likely,Neither likely nor unlikely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,3,5
R_0Mz69uR9k9vtMhH,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_3hiITL8ObapeAZ7,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Somewhat unlikely,1,2,2,3
R_3Mz1Cxck9NoCx69,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_3nVKsAeifhrIugV,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_5bYXsj56pU7f6cV,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_1Q3jy1tpQx1TKUe,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1ohbkP5PtYiuPmr,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3PYqb18pSKy7lhp,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely likely,Neither likely nor unlikely,5,3,2,3
R_1dtxnQ5xSjBsyQE,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,5,4
R_290UNrNX5Oi3Lhn,Somewhat unlikely,Somewhat unlikely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,2,5
R_2trr358i8FgTE7w,Extremely likely,Somewhat unlikely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,2,5
R_1K6ATaM7vI4BcRD,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1lhgGvTNWBGshoI,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,4,4,5,5
R_1jlcq7aJbp5r1lh,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1HpEn98o6udx7Ub,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_2q2xkp8MGGJWxOB,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2t9eluYQzyPkLZN,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3lWXInooCt5AxMk,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2D5DnYAGYLuaRHn,,,,,,0,0,0,0
R_et80dan6Ef8kFEt,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2VmePXR4Q5QsWOF,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3NINTRRxUUm0iMk,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_Rt86S0YxH1NkS8p,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_yIn9qXmbRP9mmfT,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_6sCdOxXdi41nIVr,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3drRvB9qjbxxHXj,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_3stZoCEhtHdYEv7,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_CjdYvp0hSrfyrHr,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,1,5
R_Df4j2oKjbx2X8sx,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_3PplAruzLhnrpq9,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,5,4
R_2QS90n0J3CkpXwU,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_A7e9aYuaP55WUsF,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_Q660StJyZoh1L5T,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,5,3
R_3yBqQpmbVGshha9,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_C84dQq259jLpO8N,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3Eu0VjnnWUqrmfq,,,,,,0,0,0,0
R_cZ7x3su4cZtoGqd,Neither likely nor unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_3Ea8yi3UX1CHZgm,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,2,3
R_DOAXv6EFqEA8lcR,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_BuhiyXPqmlzoLe1,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,5,1
R_2DT5y1bdb749YTF,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3DpyyQ5oN0DGLPR,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1oHJcf4ecInDPxg,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1NhubF3cXhwvowZ,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_Ado3IVhorJjHdCh,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1LRsd74Lmf0vUAk,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3PpYOisHeizVCF5,Somewhat likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2OHeOTGM58dFZNO,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_1HiPZ5ABrguLMnZ,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1gC7uJJ7xmIAKZp,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,3,2
R_0vP8B5eAqk9Wfmx,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,2,4,5,5
R_3RybQo6fuO5hFJJ,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,1,5
R_2TtVDbRXPz15H2u,Extremely likely,Somewhat likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,4,5
R_1PTAnQAImfOHR2A,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat unlikely,2,2,4,3
R_2EzBMB21o1fJqKK,Extremely likely,Extremely likely,,Somewhat unlikely,Extremely unlikely,2,1,5,0
R_7Wja7XaJnubJ1jb,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2CcUh3pSwZfWQhs,,,,,,0,0,0,0
R_389WQR8wb26jBzr,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_2tcnk5lVJHCsiCB,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,Extremely likely,1,5,4,1
R_3EiGE3R4dsrKKWg,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3g6CifOucuXDDgI,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,5,3
R_RRDSzLTJjizG3zb,Extremely likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,4,2
R_1ezBoKw5WPrGlcJ,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,3,4
